Product_Group,Mnemonics,Keywords,Notes
Mortgage,"FTH,MOM,MRF,MFY,MMT","open,fund,approv,refinanc,retain,matur","Open/funded for new mortgages; retain/maturity for retention; refinance for MRF"
Loans,"BOL,LTA,RCL,RCU,RIS,RCR,COR","open,balance,limit,credit,line","Covers credit line open + utilization"
Loans_O2P,O2P,"open","Overdraft - just open"
Credit_Card_Open,"PCQ,VBA,VBA_LTA","card,open,activ,acqui","Card opened + activated"
Credit_Card_Upgrade,"PCD,VBU","upgrade","Card upgrade"
Credit_Card_Limit,PCL,"limit,increase","Limit increase"
Credit_Card_Usage,CRV,"purchase,usage,install","Installment purchase"
Credit_Card_Activation,COB,"activ,onboard","Card activation/onboarding"
PBA,"ESV,PPQ,CTU,PFS,PRA,DAR,RPB","open,account,activ,status,fund,upgrade","Covers opens, funding, status changes, upgrades"
Investments,"GIS,TAO,TFP,RMG,IDE,GNE,MOS,RAT","open,invest,deposit,gic,matur,renew,contribut,pac","Covers opens, GIC maturity/renewal, PAC contributions"
Digital_Footprint,"NMI,VCN,VAW","activ,enrol,digital,mobile","Feature activation/enrollment"
Payments,"IRI,VUI,IPC","transfer,transaction,remit,payment","Transaction completed"
Value_Program,"EBR,PVE","enrol,program","Program enrollment"
Client,"ZRR,VSX","retain,churn,attrition,active","Client retention"
