mnemonic,no,description,product,event_type,event_category,clean_primary,primary_subset,metric_id,metric_name,pillar,source_system,source_table,date_field,grain,code_ref,code_status,discovery_status,next_action
VCN,34,VVD Contextual Notification,Digital Footprint,Acquisition,Product Enhancement,Virtual Visa Debit Activation,,VVD_ACQ_001,Card Acquisition,Conversion,EDW,DDWV01.VISA_DR_CRD_DLY,ISS_DT,Client,code/VVD/VVD_ACQ_001.md,active,complete,none — ready for engineering
VDA,,VVD Black Friday Cyber Monday Targeted,Digital Footprint,Acquisition,Product Enhancement,Virtual Visa Debit Activation,,VVD_ACQ_001,Card Acquisition,Conversion,EDW,DDWV01.VISA_DR_CRD_DLY,ISS_DT,Client,code/VVD/VVD_ACQ_001.md,active,complete,none — shares VVD_ACQ_001
VDT,,VVD Activation Trigger,Digital Footprint,Activation,Product Enhancement,Virtual Visa Debit Activation,,VVD_ACT_001,Card Activation,Conversion,EDW,DDWV01.VISA_DR_CRD_DLY,ACTV_DT,Client,code/VVD/VVD_ACT_001.md,active,complete,none — ready for engineering
VUI,36,VVD Usage Trigger,Payments,Engagement,Product Usage,Virtual Visa Debit Transaction,>$0,VVD_USG_001,Card Usage,Engagement,EDW,DDWV01.VISA_DR_CRD_DLY,TXN_DT,Client,code/VVD/VVD_USG_001.md,active,complete,none — ready for engineering
VUI,36,VVD Usage Trigger (secondary),Payments,Engagement,Product Usage,Virtual Visa Debit Transaction,>$0,VVD_PRV_001,Wallet Provisioning,Conversion,EDW,DDWV05.CLNT_CRD_POS_LOG + DL_DECMAN.TOKEN_LIST,TXN_DT,Client,code/VVD/VVD_PRV_001.md,active,complete,none — secondary metric
VUT,,VVD Tokenization Usage,Digital Footprint,Tokenization,Product Enhancement,Digital Wallet,Virtual Visa Debit,VVD_PRV_001,Wallet Provisioning,Conversion,EDW,DDWV05.CLNT_CRD_POS_LOG + DL_DECMAN.TOKEN_LIST,TXN_DT,Client,code/VVD/VVD_PRV_001.md,active,complete,none — shares VVD_PRV_001
VUT,,VVD Tokenization Usage (secondary),Digital Footprint,Tokenization,Product Enhancement,Digital Wallet,Virtual Visa Debit,VVD_USG_001,Card Usage,Engagement,EDW,DDWV01.VISA_DR_CRD_DLY,TXN_DT,Client,code/VVD/VVD_USG_001.md,active,complete,none — secondary metric
VAW,30,VVD Add To Wallet,Digital Footprint,Engagement,Product Enhancement,Digital Wallet,Virtual Visa Debit,VVD_PRV_001,Wallet Provisioning,Conversion,EDW,DDWV05.CLNT_CRD_POS_LOG + DL_DECMAN.TOKEN_LIST,TXN_DT,Client,code/VVD/VVD_PRV_001.md,active,complete,none — shares VVD_PRV_001
VAW,30,VVD Add To Wallet (secondary),Digital Footprint,Engagement,Product Enhancement,Digital Wallet,Virtual Visa Debit,VVD_USG_001,Card Usage,Engagement,EDW,DDWV01.VISA_DR_CRD_DLY,TXN_DT,Client,code/VVD/VVD_USG_001.md,active,complete,none — secondary metric
PCQ,1,Cards Acquisition,Credit Card,Conversion,Product Open,Credit Card Open,Personal ASC Matched,CC_ACQ_001,Credit Card Acquisition,Conversion,EDW,CARDS.CC_APPLICATIONS,,,code/CC/CC_ACQ_001.md,stub,pending_sas_search,extract SAS logic via pipeline
VBA,5,Pre-approved Business Credit Card (TPA),Credit Card,#N/A,Product Open,Credit Card Open,Business ASC Matched,CC_ACQ_001,Credit Card Acquisition,Conversion,EDW,CARDS.CC_APPLICATIONS,,,code/CC/CC_ACQ_001.md,stub,pending_sas_search,extract SAS logic via pipeline
VBA_LTA,6,Pre-approved Business Credit Card (LTA),Credit Card,#N/A,Product Open,Credit Card Open,Business ASC Matched,CC_ACQ_001,Credit Card Acquisition,Conversion,EDW,CARDS.CC_APPLICATIONS,,,code/CC/CC_ACQ_001.md,stub,pending_sas_search,extract SAS logic via pipeline
PCL,9,Credit Card Limit Increase,Credit Card,Conversion,Product Enhancement,Credit Limit Increase,AR_ID Matched,CC_LMT_001,Credit Limit Increase,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
PCD,21,Credit Card Best Fit Check,Credit Card,Conversion,Product Enhancement,Credit Card Upgrade,Targeted Personal Card Path,CC_UPG_001,Credit Card Upgrade,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
VBU,14,Business Cards Upgrade,Credit Card,#N/A,Product Enhancement,Credit Card Upgrade,Targeted Business Card Path,CC_UPG_001,Credit Card Upgrade,Conversion,,,,,,not_created,pending_sas_search,shares CC_UPG_001 with PCD
COB,29,Cards Onboarding,Credit Card,Engagement,Product Enhancement,Credit Card Activation,,CC_ACT_001,Credit Card Activation,Engagement,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
CRV,46,Credit Card Installment Plan,Credit Card,Acquisition,Product Usage,Installment Purchase,>$0,CC_INS_001,Installment Purchase,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
FTH,44,First Time Homebuyer with FHSA,Mortgage,Acquisition,Product Open,Mortgage Open,,MTG_ACQ_001,Mortgage Open,Conversion,EDW,LENDING.MORTGAGE_APPLICATIONS,,,code/MTG/MTG_ACQ_001.md,stub,pending_sas_search,extract SAS logic via pipeline
MOM,43,Mortgage 1 Year from Maturity,Mortgage,Retention,Product Retention,Mortgage Retained,Past Maturity,MTG_RET_001,Mortgage Retained,Retention,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
MRF,13,Mortgage Refinance Advice,Mortgage,Conversion,Product Action,Mortgage Refinance,,MTG_REF_001,Mortgage Refinance,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
MFY,40,New Mortgage Touchpoint,Mortgage,Engagement,,MISSING,,,,,,,,,,not_created,missing_definition,define success metric first
MMT,41,Mortgage Milestone Touchpoint,Mortgage,Engagement,,MISSING,,,,,,,,,,not_created,missing_definition,define success metric first
BOL,7,Pre-approved Business Operating Line,Loans,#N/A,Product Open,Business Credit Line Open,,LN_BOL_001,Business Credit Line Open,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
LTA,3,Pre-approved Royal Credit Line (LTA),Loans,Conversion,Product Open,Royal Credit Line Open,,LN_RCL_001,Royal Credit Line Open,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
RCL,2,Pre-approved Royal Credit Line (TPA),Loans,Conversion,Product Open,Royal Credit Line Open,,LN_RCL_001,Royal Credit Line Open,Conversion,,,,,,not_created,pending_sas_search,shares LN_RCL_001 with LTA
RCU,4,Royal Credit Line Utilization,Loans,Conversion,Product Usage,Royal Credit Line Balance,$1,LN_RCU_001,Royal Credit Line Balance,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
RIS,8,RCL Balance Stimulation,Loans,#N/A,Product Usage,Royal Credit Line Balance,$1,LN_RCU_001,Royal Credit Line Balance,Conversion,,,,,,not_created,pending_sas_search,shares LN_RCU_001 with RCU
O2P,45,Pre-approved Overdraft,Loans,Acquisition,Product Open,Overdraft Open,,LN_ODP_001,Overdraft Open,Conversion,EDW,DDWV01.CR_APP_PROD + CR_APP_CLNT_RELTN + OVRL_CR_APP + CR_APP_CLNT_PROD_RELTN,PROD_APP_COMPL_DT,Client,,active,complete,none — ready for engineering
RCR,27,RCL Price Optimization,Loans,Conversion,Product Open,MISSING,,,,,,,,,,not_created,missing_definition,define success metric first
COR,33,Student RCL Repayment Terms,Loans,#N/A,#N/A,MISSING,,,,,,,,,,not_created,missing_definition,define success metric first
ESV,10,New eSavings Bonus Interest Offer,PBA,Conversion,Product Open,PBA Open,HISA,PBA_OPN_001,PBA Open,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
PPQ,11,Personal Bank Account Opportunity,PBA,Conversion,Product Open,PBA Open,Chequing,PBA_OPN_001,PBA Open,Conversion,,,,,,not_created,pending_sas_search,shares PBA_OPN_001 with ESV
CTU,24,Advantage & Program Right Fit Check,PBA,Conversion,Product Enhancement,PBA Upgrade,Target Path,PBA_UPG_001,PBA Upgrade,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
PFS,17,PBA Funding Strategy,PBA,#N/A,Product Usage,Funding,>$25 PBA Account Credit,PBA_FND_001,PBA Funding,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
PRA,18,Personal Account in Restraint,PBA,#N/A,Product Open,PBA Open,Status Change out of Restraint,PBA_RST_001,PBA Status Change,Conversion,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
DAR,20,Dormant Account Reactivation,PBA,#N/A,Product Retention,PBA Open,Inactive to Active,PBA_DAR_001,Dormant Reactivation,Retention,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
RPB,19,PBA Client Retention Check-in,PBA,#N/A,Product Enhancement,PBA Open,Active/Open at 180 days,PBA_RET_001,PBA Retention,Retention,,,,,,not_created,pending_sas_search,extract SAS logic then create code file
GIS,16,GIC Exclusive Rate Acquisition,Investments,Conversion,Product Open,Investment Open,GIC,INV_GIC_001,GIC Open,Conversion,EDW,dl_mr_prod.NBO_GIC_Acquisition,dt_open,Client,,active,complete,none — ready for engineering
TAO,25,Tax Free Savings Account,Investments,Conversion,Product Open,Investment Open,"TFSA, RRSP",INV_REG_001,Registered Account Open,Conversion,EDW,dl_mr_prod.NBO_TAO_Acquisition,dt_open,Client,,active,complete,none — ready for engineering
