Mnemonic,No,Description,Event_Type,Event_Category,Product,Clean_Primary,Primary_Subset,Suggested_Keywords
FTH,44,First Time Homebuyer with FHSA,Acquisition,Product Open,Mortgage,Mortgage Open,,"mortgage,open,approved,funded,fhsa,homebuyer,close,booked"
MOM,43,Mortgage 1 Year from Maturity Touchpoint,Retention,Product Retention,Mortgage,Mortgage Retained,Past Maturity,"mortgage,retain,renew,maturity,mature,active,refinance"
BOL,7,Pre-approved Business Operating Line of Credit,#N/A,Product Open,Loans,Business Credit Line Open,,"credit,line,open,approved,booked,business,operating"
ESV,10,New eSavings Bonus Interest Offer,Conversion,Product Open,PBA,PBA Open,HISA,"savings,open,hisa,account,deposit,esavings,bonus"
GIS,16,GIC Exclusive Rate Acquisition,Conversion,Product Open,Investments,Investment Open,GIC,"gic,open,invest,purchase,deposit,term,maturity"
LTA,3,Pre-approved Royal Credit Line (RCL LTA),Conversion,Product Open,Loans,Royal Credit Line Open,,"rcl,credit,line,open,approved,booked,limit"
RCL,2,Pre-approved Royal Credit Line (RCL TPA),Conversion,Product Open,Loans,Royal Credit Line Open,,"rcl,credit,line,open,approved,booked,limit"
RCU,4,Royal Credit Line Utilization,Conversion,Product Usage,Loans,Royal Credit Line Balance,$1,"rcl,credit,line,balance,utiliz,drawn,outstanding,usage"
VBA,5,Pre-approved Business Credit Card (VBA TPA),#N/A,Product Open,Credit Card,Credit Card Open,Business ASC Matched,"card,open,approved,business,activated,credit"
CTU,24,Advantage & Program Right Fit Check,Conversion,Product Enhancement,PBA,PBA Upgrade,Target Path,"upgrade,enhance,advantage,program,tier,convert"
MRF,13,Mortgage Refinance Advice Opportunity,Conversion,Product Action,Mortgage,Mortgage Refinance,,"mortgage,refinanc,renew,switch,advice,rate"
NMI,23,NOMI Find & Save,Conversion,Product Open,Digital Footprint,NOMI Open,,"nomi,digital,enrol,activated,find,save,feature"
PCD,21,Credit Card Best Fit Check,Conversion,Product Enhancement,Credit Card,Credit Card Upgrade,Targeted Personal Card Path,"card,upgrade,switch,best,fit,enhance,credit"
PCL,9,Credit Card Limit Increase Opportunity,Conversion,Product Enhancement,Credit Card,Credit Limit Increase,AR_ID Matched,"card,limit,increase,credit,enhance,approved"
PCQ,1,Cards Acquisition,Conversion,Product Open,Credit Card,Credit Card Open,Personal ASC Matched,"card,open,approved,activated,acquisition,credit"
PPQ,11,Personal Bank Account Opportunity,Conversion,Product Open,PBA,PBA Open,Chequing,"account,open,pba,chequing,personal,banking"
TFP,22,TFSA and RRSP grow with a PAC,Conversion,Product Usage,Investments,PAC Start,"Is it just at least one payment","tfsa,rrsp,pac,contribution,invest,automatic,payment"
VBU,14,Business Cards Upgrade,#N/A,Product Enhancement,Credit Card,Credit Card Upgrade,Targeted Business Card Path,"card,upgrade,business,enhance,tier,credit"
RIS,8,RCL Balance Stimulation,#N/A,Product Usage,Loans,Royal Credit Line Balance,$1,"rcl,balance,credit,line,stimul,usage,utiliz"
TAO,25,Tax Free Savings Account Opportunity,Conversion,Product Open,Investments,Investment Open,"TFSA, RRSP","tfsa,rrsp,open,invest,account,tax,savings"
RMG,32,GIC Maturity,Engagement,Product Open,Investments,GIC Renewal,,"gic,matur,renew,reinvest,roll,term,deposit"
VCN,34,VVD acquisition mobile banner,Acquisition,Product Enhancement,Digital Footprint,Virtual Visa Debit Activation,,"vvd,virtual,visa,debit,activ,digital,mobile,enrol"
IRI,35,International Remittance,Engagement,Product Action,Payments,International Money Transfer,IMT Transaction,"remit,transfer,international,imt,payment,send"
O2P,45,Pre-approved Overdraft Opportunity,Acquisition,Product Open,Loans,Overdraft Open,,"overdraft,open,approved,protect,credit"
CRV,46,Credit card installment plan offer,Acquisition,Product Usage,Credit Card,Installment Purchase,$>0,"install,plan,card,purchase,payment,credit"
EBR,28,PBA Value Program,Conversion,Product Open,Value Program,Value Program Enrollment,,"value,program,enrol,tier,loyalty,pba"
IDE,15,Invest and Trade Online Services,Conversion,Product Open,Investments,Investment Open,"Direct Investing or InvestEase","invest,trade,online,direct,investease,open,account"
RPB,19,PBA Client Retention Check-in,#N/A,Product Enhancement,PBA,PBA Open,"Status Active/Open at 180 days","retain,active,check,pba,client,status,180"
VBA_LTA,6,Pre-approved Business Credit Card (VBA LTA),#N/A,Product Open,Credit Card,Credit Card Open,Business ASC Matched,"card,open,approved,business,credit,activated"
ZRR,12,Client Relationship Retention,Attrition,Product Open,Client,MISSING,,"client,retain,relationship,attrition,save,churn"
PFS,17,PBA Funding Strategy,#N/A,Product Usage,PBA,Funding,">$25 PBA Account Credit","fund,deposit,balance,pba,credit,payment,transfer"
PRA,18,Personal Account Opened in Restraint,#N/A,Product Open,PBA,PBA Open,Status Change out of Restraint,"restraint,status,change,open,active,pba,account"
DAR,20,Dormant Account Reactivation,#N/A,Product Retention,PBA,PBA Open,"Status Inactive to Active","dormant,reactivat,inactive,active,status,account"
VSX,26,Value Ecosystem Engagement,Engagement,Product Usage,Client,MISSING,,"value,ecosystem,engage,client,loyalty,program"
RCR,27,RCL Price Optimization,Conversion,Product Open,Loans,MISSING,,"rcl,credit,line,rate,price,optim,interest"
COB,29,Cards Onboarding,Engagement,Product Enhancement,Credit Card,Credit Card Activation,,"card,onboard,activ,first,use,credit,welcome"
VAW,30,VVD Mobile App Acquisition Contextual,Engagement,Product Enhancement,Digital Footprint,Digital Wallet,Virtual Visa Debit,"vvd,digital,wallet,mobile,app,virtual,visa,debit"
GNE,31,Explore & Continue GIC Journey,Engagement,Product Open,Investments,Investment Open,"All GIC >$0 (ins and outs)","gic,invest,explore,continue,journey,deposit,matur"
COR,33,Student RCL Confirmation of Repayment Terms,#N/A,#N/A,Loans,MISSING,,"student,rcl,repay,confirm,term,credit,line"
VUI,36,VVD Usage Increase Trigger,Engagement,Product Usage,Payments,Virtual Visa Debit Transaction,">$0","vvd,usage,debit,virtual,visa,transaction,spend"
PVE,37,Value Program Enrollment,Engagement,Product Open,Value Program,Product Cross-Sell,,"value,program,enrol,cross,sell,product"
MOS,38,Investment Advice Connection,Engagement,Product Usage,Investments,Positive Long-Term Net Sales,,"invest,advice,connect,net,sales,long,term"
RAT,39,Explore Education Saving Options,Acquisition,Product Open,Investments,Investment Open,RESP,"resp,education,saving,invest,open,registered"
MFY,40,NEW MORTGAGE TOUCHPOINT,Engagement,,Mortgage,MISSING,,"mortgage,new,touchpoint,contact,engage"
MMT,41,Mortgage Milestone Touchpoint,Engagement,,Mortgage,MISSING,,"mortgage,milestone,touchpoint,anniversary,payment"
IPC,42,International Money Transfer Winback Campaign,Engagement,Product Retention,Payments,International Money Transfer,IMT Transaction,"imt,transfer,international,winback,remit,payment"
